# Airfoil: JOUK_t12_f2
# Settings: StallFwd=15.3 StallBwd=9.7 Mach=0.10 Re=2303000

Alpha (deg), Cl, Cd, Cm, L/D, Stall_Sigma
-180.00, -0.108210, 0.018503, -0.040514, -5.85, 1.00
-179.50, -0.053993, 0.018405, -0.013333, -2.93, 1.00
-179.00, 0.000220, 0.018361, 0.013836, 0.01, 1.00
-178.50, 0.054421, 0.018390, 0.040972, 2.96, 1.00
-178.00, 0.108589, 0.018489, 0.068050, 5.87, 1.00
-177.50, 0.162691, 0.018658, 0.095021, 8.72, 1.00
-177.00, 0.216661, 0.018895, 0.121811, 11.47, 0.99
-176.50, 0.270388, 0.019199, 0.148292, 14.08, 0.99
-176.00, 0.323677, 0.019570, 0.174255, 16.54, 0.99
-175.50, 0.376202, 0.020011, 0.199365, 18.80, 0.98
-175.00, 0.427429, 0.020530, 0.223092, 20.82, 0.97
-174.50, 0.476512, 0.021148, 0.244630, 22.53, 0.95
-174.00, 0.522164, 0.021910, 0.262824, 23.83, 0.92
-173.50, 0.562546, 0.022897, 0.276147, 24.57, 0.89
-173.00, 0.595231, 0.024254, 0.282835, 24.54, 0.84
-172.50, 0.616695, 0.026198, 0.280987, 23.54, 0.77
-172.00, 0.620963, 0.029008, 0.268536, 21.41, 0.68
-171.50, 0.602912, 0.032962, 0.245026, 18.29, 0.58
-171.00, 0.566278, 0.038224, 0.214420, 14.81, 0.47
-170.50, 0.529543, 0.044753, 0.186730, 11.83, 0.36
-170.00, 0.507825, 0.052306, 0.168815, 9.71, 0.27
-169.50, 0.491819, 0.060535, 0.155188, 8.12, 0.19
-169.00, 0.468956, 0.069115, 0.139580, 6.79, 0.13
-168.50, 0.442966, 0.077825, 0.123711, 5.69, 0.09
-168.00, 0.425751, 0.086560, 0.112678, 4.92, 0.06
-167.50, 0.427007, 0.095295, 0.110415, 4.48, 0.04
-167.00, 0.446770, 0.104054, 0.116560, 4.29, 0.03
-166.50, 0.470629, 0.112879, 0.124474, 4.17, 0.02
-166.00, 0.484495, 0.121815, 0.127857, 3.98, 0.01
-165.50, 0.493662, 0.130901, 0.129125, 3.77, 0.01
-165.00, 0.506770, 0.140169, 0.132155, 3.62, 0.00
-164.50, 0.522387, 0.149643, 0.136319, 3.49, 0.00
-164.00, 0.538373, 0.159339, 0.140677, 3.38, 0.00
-163.50, 0.554552, 0.169270, 0.145160, 3.28, 0.00
-163.00, 0.570799, 0.179444, 0.149723, 3.18, 0.00
-162.50, 0.587025, 0.189864, 0.154333, 3.09, 0.00
-162.00, 0.603166, 0.200534, 0.158968, 3.01, 0.00
-161.50, 0.619174, 0.211453, 0.163612, 2.93, 0.00
-161.00, 0.635012, 0.222622, 0.168254, 2.85, 0.00
-160.50, 0.650653, 0.234039, 0.172885, 2.78, 0.00
-160.00, 0.666072, 0.245701, 0.177499, 2.71, 0.00
-159.50, 0.681251, 0.257606, 0.182092, 2.64, 0.00
-159.00, 0.696173, 0.269751, 0.186659, 2.58, 0.00
-158.50, 0.710822, 0.282133, 0.191198, 2.52, 0.00
-158.00, 0.725185, 0.294748, 0.195704, 2.46, 0.00
